,RGR,GBR,BRB,RBR,GRG,RBG,GBG,GRB,RGB,BGR,BRG,BGB
95th_percentile_of_null,29.0,35.0,29.0,29.0,30.0,35.0,29.0,35.0,35.0,35.0,35.0,29.0
real_count,23.0,20.0,16.0,24.0,10.0,25.0,4.0,37.0,17.0,25.0,31.0,6.0
difference,,,,,,,,,,,,
